room_type,person_capacity,bedrooms,lng,lat,City,realSum,metro_dist,attr_index_norm,rest_index_norm,host_is_superhost,biz,cleanliness_rating,guest_satisfaction_overall,dist,Crime Index,Safety Index,geo_id,lng_lat_count,dup_rank_within_pair
Private room,3.0,1,12.513,41.888000000000005,rome,88.25661047857292,0.365973783793423,7.381613958815786,17.855664130118964,False,1,10.0,89.0,1.6854643656895785,53.11,46.89,12.513_41.888000000000005,2,2
Private room,2.0,1,12.513,41.89,rome,141.327472938536,0.5365342709514604,7.504735889653743,18.819312880937545,True,0,10.0,94.0,1.5016184725678736,53.11,46.89,12.513_41.89,2,1
Private room,3.0,1,12.513,41.89,rome,138.63886096369205,0.536528396179675,7.503929715426907,18.82577045179756,True,0,10.0,96.0,1.501617523318805,53.11,46.89,12.513_41.89,2,2
Entire home/apt,2.0,0,12.514,41.895,rome,138.17127627241484,0.7926487722079616,7.354859921799011,19.91142836234701,False,0,10.0,90.0,1.173366437889274,53.11,46.89,12.514_41.895,2,1
Entire home/apt,5.0,1,12.514,41.895,rome,172.7725434269282,0.7926393552453511,7.356420450400032,19.897049477910286,False,0,9.0,88.0,1.1733843386757778,53.11,46.89,12.514_41.895,2,2
Private room,2.0,1,12.515,41.88399999999999,rome,109.64861010450517,0.2337621370294071,6.490431790514753,17.174718839031257,False,1,9.0,90.0,2.1523992984187097,53.11,46.89,12.515_41.88399999999999,2,1
Private room,2.0,1,12.515,41.88399999999999,rome,120.16926565824234,0.2337750469856716,6.491102849216308,17.16885268870619,True,0,10.0,98.0,2.1523919893385868,53.11,46.89,12.515_41.88399999999999,2,2
Entire home/apt,2.0,1,12.515,41.898999999999994,rome,161.66740700909452,1.0317497443257482,7.004176679124974,20.731872693605105,False,1,10.0,97.0,1.0786009388995017,53.11,46.89,12.515_41.898999999999994,2,1
Entire home/apt,4.0,1,12.515,41.898999999999994,rome,150.09468589998363,1.0317444901264392,7.004194180471733,20.73164514791181,False,1,9.0,92.0,1.078598914760051,53.11,46.89,12.515_41.898999999999994,2,2
Entire home/apt,3.0,1,12.515999999999998,41.9,rome,170.66841231618076,1.050867074598514,6.753202225241932,18.152314415726593,True,0,10.0,96.0,1.1454574225959642,53.11,46.89,12.515999999999998_41.9,2,1
Entire home/apt,4.0,0,12.515999999999998,41.9,rome,136.06714516166738,1.0508733468978566,6.752462695050712,18.158434174260975,False,0,9.0,83.0,1.145458616598139,53.11,46.89,12.515999999999998_41.9,2,2
Entire home/apt,3.0,1,12.517,41.873000000000005,rome,154.6536366399364,0.5487003734734643,4.936469542960088,13.053291503998356,True,0,10.0,98.0,3.329473853064711,53.11,46.89,12.517_41.873000000000005,2,1
Entire home/apt,4.0,1,12.517,41.873000000000005,rome,170.66841231618076,0.5486977881760475,4.937006463724571,13.048882338370529,True,0,10.0,98.0,3.3294505940121564,53.11,46.89,12.517_41.873000000000005,2,2
Entire home/apt,4.0,1,12.517,41.91,rome,153.36777873892407,0.4520001538473195,5.834492352022865,16.04752964674186,False,1,9.0,93.0,1.589726477101543,53.11,46.89,12.517_41.91,2,1
Entire home/apt,4.0,2,12.517,41.91,rome,192.6448928062095,0.4519759945589689,5.834463227453364,16.047534762614404,False,1,9.0,91.0,1.5897469888302018,53.11,46.89,12.517_41.91,2,2
Private room,2.0,1,12.518,41.883,rome,134.83973534706473,0.3200649039418034,5.885098051936921,15.696681419621028,False,1,10.0,93.0,2.3771217982761916,53.11,46.89,12.518_41.883,2,1
Private room,3.0,1,12.518,41.883,rome,146.35400836976595,0.3200690118339471,5.885063150152236,15.69656377251426,False,1,10.0,90.0,2.3771492047265905,53.11,46.89,12.518_41.883,2,2
Entire home/apt,4.0,1,12.518,41.897,rome,157.80983330605756,1.1406571179218954,6.484538183014777,17.065146473441327,True,0,10.0,98.0,1.3762938701435814,53.11,46.89,12.518_41.897,2,1
Entire home/apt,4.0,2,12.518,41.897,rome,194.74902391695696,1.1406497091283272,6.484571444443028,17.06522882950116,True,0,10.0,99.0,1.3762763262090465,53.11,46.89,12.518_41.897,2,2
Entire home/apt,2.0,1,12.518,41.898,rome,157.69293713323825,1.2141567423552666,6.460615500932139,17.363100759604798,False,0,10.0,96.0,1.3457220848916644,53.11,46.89,12.518_41.898,2,1
Private room,2.0,1,12.518,41.898,rome,126.71545133612324,1.2141453505585589,6.461336431639313,17.357289609619603,False,0,10.0,97.0,1.3457050448438947,53.11,46.89,12.518_41.898,2,2
